Country,Departments,Subject Name Automation hub,Purpose,Benefit per company (€/per year),Benefit per company (hours saved/year),Oneshot Benefit,Automation Hub Documentation,PHASE,Status,Is it a local process or could it be deployed to all subs ?,Date submitted,Link Automation Hub,Submitter,Collaborator
DENMARK,Quality,DEN-QSS-monthly co2 update,Collect data from websites to update electricty and solarpower data. Required data for delivery to group,€375.00,12 Hours Per Year,€0.00,Electricity Report.xlsx,Assessment,Not Started,Local,09/19/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/den-qss-monthly-co2-update,Christoffer SLOTH,"Christoffer SLOTH, Lars Christensen"
POLAND,Customer Service PL,POL - CC  Sending signed double delivery notes with invoices to the customers,"We want to reduce the time and errors associated with agents' manual work. We collect signed delivery notes in paper version, scan them and sent to the customer with the invoice. This manual work has an impact for customer's debts in our company. Customers don't pay an invoices without the delivery notes. They don't accept POD from the SITI. ","€30,000.00",960 Hours Per Year,€0.00,Providing signed delivery documents with invoices.docx,Assessment,Not Started,"Local, and maybe Group",09/18/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/pol---cc--sending-signed-duble-delivery-notes-with-invoices-to-the-customers,Justyna Kowalik,Justyna Kowalik
DENMARK,Marketing,DEN-MKT-Washroom offer calculation tool,"To better be able to track data and target offers on washwoom to different type of customers. Where all types of washroom product details are gathered, so we can easily switch between good/better/best product but also look at price pr meter of toiletpaper and know the grammage of the paper, number of ply and relate that directly to number of employees in  company - adding different service levels as well. So including prices or option to price the offer",€0.00,0 Hours Per Year,€0.00,document,Assessment,Not Started,"Local, and maybe Group",09/18/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/washroom-offer-calculation-tool,Eva Bech LYNGGAARD,"Eva Bech LYNGGAARD, Lars Christensen"
SWEDEN,Customer Unique Specialist,SWE - CS - Nespresso Subscription Orders,Create Nespresso subscription orders,€0.00,0 Hours Per Year,€0.00,document,Idea,Awaiting Review,Local,09/17/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---cs---nespresso-subscription-orders,SVÄRD Peter,"SVÄRD Peter, Johan SIEDBERG"
SWEDEN,Customer Unique Specialist,SWE - CS - Email updated Order Confirmation,Notify customers with new update order confirmation when delivery dates changes.,"€15,000.00",480 Hours Per Year,€0.00,document,Idea,Awaiting Review,Local,09/17/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---cs---email-updated-order-confirmation,SVÄRD Peter,"SVÄRD Peter, Johan SIEDBERG"
SWEDEN,Customer Unique Specialist,SWE - CS - Nespresso Spare Part Price Update,Schedule a bot to download the latest Nespresso Spare Part Price list and update the materials in SAP.  ,"€4,875.00",156 Hours Per Year,€0.00,Business Case.docx,Idea,Awaiting Review,Local,09/17/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---cs---nespresso-spare-part-price-update,SVÄRD Peter,"SVÄRD Peter, Johan SIEDBERG"
SWEDEN,Customer Unique Specialist,SWE - CS - 48h Email Reminder to close Saleforce case,"Email a reminder to respond to our previous email or else the Saleforce case will be closed. 
Also close the case if 48h has passed.","€15,000.00",480 Hours Per Year,€0.00,document,Idea,Awaiting Review,Local,09/17/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---cs---48h-email-reminder-to-close-saleforce-case,SVÄRD Peter,"SVÄRD Peter, Johan SIEDBERG"
SWEDEN,Customer Unique Specialist,SWE - CS - Customer Initiated Return,"To automate the whole process of customer initiated returns.
Fetching all the active cases in Saleforce
The actual SAP order
Sending parcel documentation to the customer","€41,250.00",1320 Hours Per Year,€0.00,document,Qualification,Approved,Local,09/17/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---cs---customer-initiated-return,SVÄRD Peter,"SVÄRD Peter, Johan SIEDBERG"
DENMARK,MARKETING,DEN-SAL-Pricelists,It would be great with international pricelists for common customers across Lyreco SUBS,"€7,500.00",240 Hours Per Year,€0.00,document,Assessment,Not Started,"Local, and maybe Group",09/16/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/den-sal-pricelists,Lars Christensen,"Lars Christensen, Ghita GRAND"
DENMARK,MARKETING,DEN-SAL-Customer reports,"We would like help with creating customer reports.
Customers like ISS and Novo requires monthly reports.","€1,500.00",48 Hours Per Year,€0.00,document,Assessment,Not Started,Local,09/16/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/den-sal-customer-reports,Lars Christensen,"Lars Christensen, Ghita GRAND"
DENMARK,MARKETING,DEN-SAL-Customer rebate,"We would like a BOT that can help fill in FAC19 files for International customers.
Also help for approver workflow and FAC20 files.
Data is comming from Power BI  ","€1,250.00",40 Hours Per Year,€0.00,document,Assessment,Not Started,"Local, and maybe Group",09/16/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/den-sal-customer-rebate,Lars Christensen,"Lars Christensen, Ghita GRAND"
DENMARK,"Sales,Marketing",DEN-SAL-Save mail/file project,"Possibility to create a mail with values from an Excel file, og save the excel file as value on one drive.","€7,500.00",240 Hours Per Year,€0.00,"document,document",Assessment,Not Started,Local,09/16/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/den-sal-save-mailfile-project,Gert Green JAKOBSEN,"Gert Green JAKOBSEN, Lars Christensen"
DENMARK,Sales,DEN-SAL-VBA programing for masterfile,Please create program for masterfile ,"€1,500.00",48 Hours Per Year,€0.00,"Vejledning Masterfile.xlsx,Masterfile MOTOR non binær.xlsx",Assessment,Not Started,Local,09/12/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/den-sal-vba-programing-for-masterfile,Emil Thrane DAGELYKKE,"Mick FROESLEV, Lars Christensen, Emil Thrane DAGELYKKE"
DENMARK,Finance,DEN-FIN-FSC - Control on invoice,"ESG Task, manually control of many invoices.","€3,750.00",120 Hours Per Year,€0.00,document,Assessment,Not Started,Local,08/22/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/fsc---control-on-invoice,Eva NEUHAUSEN,"Eva NEUHAUSEN, Lars Christensen"
FRANCE,Finance,FR - FIN - End-of-promotion result reminders,This process follows on from the information communicated by the Marketing End of Promotion bot. It enables the Finance department to send out the necessary reminders to suppliers in order to receive credit notes. ,"€1,725.00",55.2 Hours Per Year,€0.00,document,Assessment,Not Started,"Local, and maybe Group",03/12/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/fr---fin---end-of-promotion-result-reminders,Marine DENIS,"Marine DENIS, Thomas DELOS"
BENELUX,Logistic,BNL - LOG - Code 95 Daily - Stock report,"Send report every morning to team planning, on stock level of items that are on code 95. 
That will save 5 to 10 min every day for the generation of the reprt. But that has a big impact on sales . That will help us get items available for customer orders and avoid blocking the sales for an item that is on stock. ","€1,500.00",48 Hours Per Year,€0.00,"STOCK code 95. easy vista request bis.pdf,Mailing list.pdf",Assessment,Not Started,Local,01/22/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/code-95-daily--stock--report,Yaser Uddin,Yaser Uddin
WISE,Logistics,WISE - LOG - Automation of Daily Stock Report from Power BI - Demand and Supply ,"In WISE - each day the Supply Chain Analyst extracts from the Demand and Supply Power BI application a report which details an overview of the current stock positions for products held in both the Telford and Dublin warehouses.

Two separate reports for each warehouse are then downloaded, extracted to excel and emailed out to a large distribution list - Sales / Customer Care / Products and Services & Supply Chain. (Approx 250+ recipients a day)

The reports sent out daily allow all areas of the business to make informed decisions based on the current stock position, help Customer Care answer customer queries, assist the sales team in the field by having up to date stock information without needing to contact Customer Care / Replen teams and allow the Supply Planners in replen manage their stock portfolio more effectively. Example report attached. This can take 30 mins per day to extract / save and email out.

There is also an additional two reports that are extracted from PBI each day by the planning analyst after these stock reports are emailed out. I have detailed those two below:

BI Stock Report - Similar to the stock report that gets emailed out but with more information, this is extracted and saved to a drive for the BI team daily to use.

Purchase Requestions - Each day a list of all open purchase requisitions which are due to be released that day up to six months into the future is extracted from Demand and Supply PBI app and saved to the BI Team drive to use.

This is an additional 15 minutes per day on top of the daily stock reports.

There is no analysis and is simply extracting and sending out data. This would save 225 minutes a week if these four reports could be automated daily, allowing the planning analyst to focus on more complex tasks.","€6,000.00",192 Hours Per Year,€0.00,Example of UK Stock Report - 02.01.24,Assessment,In Progress,"Local, and maybe Group",01/02/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/automation-of-daily-stock-report-from-power-bi---demand-and-supply-,Duncan MILTON,Duncan MILTON
DENMARK,Finance,DEN-QSS-Control of content Catalogue ,"Limit Mistakes in the Catelogue.
A a screen of the Catelogue, showing that all products with Sustainable Selection is marked as Sustainable Selection.",€0.00,0 Hours Per Year,"€3,000.00",document,Assessment,Not Started,"Local, and maybe Group",12/15/2023,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/control-of-content-catelogue,Eva NEUHAUSEN,"Eva NEUHAUSEN, Lars Christensen, Victor Sebastian BJARNESEN, Kim Jagd FREDERIKSEN"
DENMARK,Finance,DEN-FIN-Accruals,"Optimize monthly Closing.
Autoposting in SAP by using our local Excel worksheet, and saving document with ID-number","€2,812.50",90 Hours Per Year,€0.00,document,Assessment,Not Started,"Local, and maybe Group",12/15/2023,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/accruals,Eva NEUHAUSEN,"Eva NEUHAUSEN, Lars Christensen"
DENMARK,,DEN-QSS-SITI Route mapping for distance and CO2e emissions,"Connecting the coordinates from SITI through (eg. Google Cloud API), to get distance driven for each route. We can calculate fuel consumption from this and thereby CO2e emissions on deliveries.","€97,500.00",3120 Hours Per Year,€0.00,document,Assessment,Not Started,"Local, and maybe Group",12/14/2023,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/siti-route-mapping-for-distance-and-co2e-emissions,Victor Sebastian BJARNESEN,"Victor Sebastian BJARNESEN, Lars Christensen"
DENMARK,Finance,DEN-FIN-Control Product Taxes,"Risk Minimizing and Compliance
Instead of Manually extracting and checking data, a tool to check data is complete and valid, also over to Bing","€6,000.00",192 Hours Per Year,€0.00,document,Assessment,Not Started,"Local, and maybe Group",12/11/2023,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/control-product-taxes,Eva NEUHAUSEN,"Eva NEUHAUSEN, Lars Christensen"
DENMARK,Marketing,DEN-MKT-Non stock pricing automatical upload,"We would like prices to be uploaded automatically from excel file to SAP for Nonstock items.
Every handle on Non-stock items today is done manually, there are no automatically maintenance of these items at all.
","€22,500.00",720 Hours Per Year,€0.00,document,Assessment,Not Started,"Local, and maybe Group",11/24/2023,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/non-stock-pricing-automatical-upload,Jeanette CLAUSEN,"Jeanette CLAUSEN, Lars Christensen"
DENMARK,Logistics,DEN-SC-Operationel report balance ,"Each day we run a report to keep a record of the balance between picking stations and the amount of prepack in detail.
This is done using power BI data (order preparation) that is fed into an excel file located on the server/common network drive. The result of the auto calculations copied to another tap showing the date and result for the day of the week. This is sorted into groups for each week.
currently there is no documentation on the process yet, but its straightforward and simple.",€750.00,24 Hours Per Year,€0.00,document,Qualification,Awaiting Review,Local,10/24/2023,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/operationel-report-balance-,Lars Erik HENRIKSEN,"Lars Erik HENRIKSEN, Lars Christensen"
CASH,Customer Service CASH,CASH - CS - POD (Proof Of Delivery) Pairing,"Send evidences to Customers regarding invoices and related deliveries via email.
Those information will be extracted from SITI and SAP.

If the customer receives an credit note from FIN, they are asking for the delivery note to the invoiced amount, CS have to download the delivery notes manually and send it to the customer manually. If we had a automatic pairing of this two documents, and sending them together CS would have less manually work and more time to be focused on service level provided to our customers.
The customer wouldn´t need to contact us and request the delivery note = better customer experience.",€0.00,0 Hours Per Year,€10.00,"CASH - POD Use-Case - Additional Scoping Information.docx,document",Qualification,Awaiting Review,"Local, and maybe Group",08/22/2023,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/cash---cs---pod--proof-of-delivery--pairing,simona vrabcová,"simona vrabcová, mathieu lison, Tamara BOGDANYOVA"
GROUP,GIS Innovation,GRP IS - Demo Bot,The goal of this automatisation is use each possibilities of UiPath for doing a demo to the business maybe for the townhall IT,,,,document,Idea,Awaiting Review,Group,07/28/2023,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/grp-is---demo-bot,Mickaël Guérardelle,"Laurent Silczak, mathieu lison, Josic Libert, Quentin Chastin, Bruno Bastin, Dimitri Degroise, Julian LEROY, Deleted User, Mickaël Guérardelle"
GROUP,Customer Experience,GRP IS - Webshop - Automate non-regression testing,Define the process,,,,document,Assessment,Postponed,Group,07/27/2023,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/grp-is---webshop---automate-non-regression-testing,Olivier Gaudin,"Olivier Gaudin, mathieu lison, Aline TURPIN, Alexandre MALOR"
IBERIA,Finance,IBERIA - FIN - CFAC for Iberia,"Need more information from Alicia
Same process than CFAC France ? To be checked.",,,,document,Assessment,Not Started,"Local, and maybe Group",07/27/2023,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/iberia---fin---cfac-for-iberia,Alicia GONZALEZ AMOR,"Alicia GONZALEZ AMOR, mathieu lison"
IBERIA,Finance,IBERIA - FIN - Checking PDF invoices,"Checking PDF invoices -> 2h => 300 Mails - 10 men Days + OCR (Provider and Suppliers)
Need more information from Alicia",,,,document,Assessment,In Progress,Local,07/27/2023,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/iberia---fin---checking-pdf-invoices,Alicia GONZALEZ AMOR,"Alicia GONZALEZ AMOR, mathieu lison"
